Weekday,Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
Monday,12.738418,79.988674,1,51,0,0,0,0,0,0,0,0
Monday,12.99577,80.110545,1,36,0,0,0,0,0,0,0,0
Monday,12.843988,80.059556,1,44,0,0,0,0,0,0,0,0
Monday,12.923147,80.096913,1,15,0,0,0,1,0,0,0,0
Monday,12.930311,80.115007,1,20,1,0,0,6,0,4,0,0
Monday,13.034038,80.239897,1,29,10,13,2,6,0,1,4,2
Monday,12.963865,80.214462,1,33,0,0,0,0,0,2,0,0
Monday,13.049348,80.249832,1,15,7,10,6,4,0,10,8,2
Monday,12.965379,80.201315,1,16,0,0,0,0,0,0,0,0
Tuesday,13.05499,80.273664,67,14,3,7,8,6,3,2,13,8
Tuesday,13.053397,80.269287,48,11,2,5,10,4,3,3,14,3
Tuesday,13.061004,80.274387,43,16,3,15,11,9,3,5,9,6
Tuesday,12.878059,80.083425,37,11,0,0,0,0,0,2,0,1
Tuesday,13.069519,80.266635,32,17,1,23,7,6,2,4,11,3
Tuesday,13.068186,80.271616,29,16,1,15,10,6,3,6,9,4
Tuesday,13.063673,80.247709,16,11,4,10,4,7,1,6,5,1
Tuesday,12.97708,80.135655,13,17,0,0,0,1,0,0,0,0
Tuesday,13.062534,80.266843,12,17,2,19,13,5,3,6,7,4
Tuesday,12.508877,79.886583,12,15,0,0,0,0,0,0,0,0
Tuesday,12.983764,80.140103,11,20,0,0,0,0,0,0,0,0
Tuesday,13.072813,80.262065,9,21,4,26,9,6,1,5,11,6
Tuesday,13.037452,80.267571,8,21,4,2,3,4,2,4,18,0
Tuesday,12.99795,80.100683,6,12,0,0,0,0,0,1,0,0
Tuesday,13.043289,80.115159,6,15,0,0,0,0,0,0,0,0
Tuesday,13.051925,80.263835,6,20,4,10,9,3,2,3,5,1
Tuesday,12.979275,80.129411,5,17,0,0,0,1,0,0,0,0
Tuesday,13.057098,80.257097,5,12,10,11,9,7,2,7,3,3
Tuesday,12.96479,80.197326,4,18,0,0,0,0,0,0,0,0
Tuesday,12.690254,79.980547,4,30,0,0,0,0,0,0,0,0
Tuesday,12.936957,80.182314,4,20,0,0,0,0,0,0,0,0
Tuesday,12.955127,80.186705,3,3,0,0,0,1,0,0,0,0
Tuesday,13.031011,80.266813,3,26,2,1,4,3,2,5,19,1
Tuesday,12.984733,80.123899,3,25,0,0,0,0,0,0,0,0
Tuesday,12.699832,79.968292,2,36,0,0,0,0,0,0,0,0
Tuesday,13.04723,80.266354,2,26,3,6,4,4,1,3,7,0
Tuesday,12.695844,79.977678,2,33,0,0,0,0,0,0,0,0
Tuesday,12.538237,79.903923,1,52,0,0,0,0,0,0,0,0
Tuesday,12.697223,79.973069,1,33,0,0,0,0,0,0,0,0
Tuesday,12.675105,79.977435,1,40,0,0,0,0,0,0,0,0
Tuesday,13.006462,80.256048,1,33,1,1,6,2,0,1,0,2
Tuesday,12.952024,80.140788,1,37,0,1,0,0,0,1,1,0
Tuesday,12.924909,80.099972,1,0,0,0,0,0,0,0,0,0
Tuesday,12.742765,79.992274,1,14,0,0,0,0,0,0,0,0
Wednesday,13.055199,80.273788,71,15,4,7,8,6,3,2,13,8
Wednesday,13.06076,80.27429,56,15,3,15,11,9,3,6,9,6
Wednesday,13.053412,80.269407,52,16,2,5,10,4,3,3,14,3
Wednesday,13.065471,80.273807,36,16,1,16,11,9,3,5,7,4
Wednesday,13.069366,80.266882,24,23,1,20,8,6,2,4,11,3
Wednesday,12.878925,80.080781,22,9,0,0,0,0,0,2,0,1
Wednesday,13.051433,80.263989,14,23,4,9,9,3,2,3,5,1
Wednesday,13.036304,80.26784,13,16,3,2,3,4,2,3,18,0
Wednesday,13.05763,80.26499,13,19,4,10,7,6,3,4,5,1
Wednesday,13.07285,80.262195,12,19,4,26,9,6,1,5,11,6
Wednesday,13.029971,80.266548,9,23,2,1,4,2,2,5,17,1
Wednesday,12.510567,79.88506,9,18,0,0,0,0,0,0,0,0
Wednesday,12.977145,80.135698,8,20,0,0,0,1,0,0,0,0
Wednesday,13.04154,80.268169,8,16,4,4,2,5,1,3,10,0
Wednesday,12.693963,79.979027,7,17,0,0,0,0,0,0,0,0
Wednesday,13.025027,80.265221,7,23,1,1,5,1,1,2,16,2
Wednesday,13.063174,80.247692,7,23,4,10,4,7,1,6,5,1
Wednesday,13.063591,80.26741,7,23,3,19,12,6,4,6,7,3
Wednesday,13.057644,80.257645,6,19,10,11,9,7,2,7,3,2
Wednesday,12.689588,79.982341,6,15,0,0,0,0,0,0,0,0
Wednesday,13.046047,80.266507,6,31,3,6,4,4,1,3,8,0
Wednesday,13.007809,80.259341,5,15,0,1,5,1,0,1,1,2
Wednesday,13.001373,80.098078,5,26,0,0,0,0,0,1,0,0
Wednesday,13.019885,80.262239,5,23,2,0,2,1,0,2,6,1
Wednesday,12.699658,79.968824,5,10,0,0,0,0,0,0,0,0
Wednesday,12.964781,80.196276,3,6,0,0,0,0,0,0,0,0
Wednesday,12.948754,80.185208,3,28,0,0,0,1,0,0,1,0
Wednesday,12.940891,80.182849,3,28,0,0,0,0,0,0,0,0
Wednesday,12.97663,80.222429,3,22,0,0,1,2,0,2,4,0
Wednesday,12.763056,80.004185,3,22,0,0,0,0,0,0,0,0
Wednesday,12.971781,80.1412,3,12,0,0,0,0,0,0,0,0
Wednesday,12.981866,80.139482,3,25,0,0,0,0,0,0,0,0
Wednesday,12.932807,80.181753,3,20,0,0,0,0,0,0,0,0
Wednesday,12.961791,80.187346,3,11,0,0,0,0,0,0,0,1
Wednesday,12.963963,80.214069,3,17,0,0,0,0,0,2,0,0
Wednesday,12.980098,80.129048,2,13,0,0,0,1,0,0,0,0
Wednesday,13.006807,80.250503,2,18,3,1,4,2,0,1,0,3
Wednesday,13.066335,80.255786,2,24,5,9,8,9,1,2,4,3
Wednesday,13.063395,80.261579,2,14,3,18,6,8,3,5,6,2
Wednesday,12.906203,80.096338,2,8,0,0,0,0,0,1,0,1
Wednesday,12.965859,80.201948,2,20,0,0,0,0,0,0,0,0
Wednesday,12.922605,80.133882,2,16,0,0,0,1,0,0,0,0
Wednesday,12.956679,80.187098,2,20,0,0,0,1,0,0,0,0
Wednesday,12.841825,80.057242,2,14,0,0,0,0,0,0,0,0
Wednesday,12.966758,80.148967,1,42,0,1,0,1,0,1,0,0
Wednesday,12.668127,79.972979,1,48,0,0,0,0,0,0,0,0
Wednesday,12.930675,80.116785,1,39,1,0,0,6,0,4,0,0
Wednesday,12.927221,80.109053,1,37,0,0,0,6,0,1,0,0
Wednesday,12.72674,79.98259,1,54,0,0,0,0,0,0,0,0
Thursday,13.05325,80.271495,70,15,2,3,9,4,4,3,14,4
Thursday,13.057286,80.273979,50,16,4,11,11,7,4,3,12,6
Thursday,13.062065,80.274238,37,14,3,18,11,9,3,5,9,6
Thursday,12.876085,80.083145,30,9,0,0,0,0,0,2,0,1
Thursday,13.06526,80.247832,28,15,5,10,6,6,2,4,4,2
Thursday,13.068837,80.267663,23,19,1,22,9,5,2,4,10,3
Thursday,13.053735,80.265908,23,17,3,8,9,3,3,2,5,1
Thursday,13.066903,80.273653,19,13,1,16,11,8,2,5,9,4
Thursday,12.69761,79.975548,11,22,0,0,0,0,0,0,0,0
Thursday,12.964757,80.196107,10,13,0,0,0,0,0,0,0,0
Thursday,13.029248,80.266234,9,12,1,1,5,1,2,5,17,1
Thursday,13.073042,80.2613,9,17,4,25,9,6,1,5,11,7
Thursday,12.687592,79.982998,8,14,0,0,0,0,0,0,0,0
Thursday,12.693739,79.979194,8,15,0,0,0,0,0,0,0,0
Thursday,12.699049,79.969754,7,14,0,0,0,0,0,0,0,0
Thursday,12.510297,79.884995,7,14,0,0,0,0,0,0,0,0
Thursday,12.977287,80.131371,7,24,0,0,0,1,0,0,0,0
Thursday,12.880981,80.080625,6,9,0,0,0,0,0,2,0,1
Thursday,13.037179,80.26753,6,14,4,2,3,4,2,4,18,0
Thursday,13.057133,80.257141,5,10,10,11,9,7,2,7,3,3
Thursday,12.96581,80.20342,5,16,0,0,0,0,0,0,0,0
Thursday,12.974093,80.135698,5,23,0,0,0,1,0,0,0,0
Thursday,12.96559,80.190533,4,16,0,0,0,0,0,0,0,1
Thursday,13.049466,80.263988,4,24,5,7,9,2,1,3,5,1
Thursday,12.981713,80.138297,4,25,0,0,0,0,0,0,0,0
Thursday,12.971346,80.143234,4,15,0,1,0,0,0,1,0,0
Thursday,12.761639,80.00377,3,25,0,0,0,0,0,0,0,0
Thursday,12.981535,80.129269,3,24,0,0,0,1,0,0,0,0
Thursday,12.922535,80.147754,3,17,0,0,1,1,0,0,1,1
Thursday,13.067523,80.254881,3,19,5,12,8,8,2,2,4,3
Thursday,12.939488,80.182468,3,22,0,0,0,0,0,0,0,0
Thursday,13.00614,80.203131,2,42,1,0,0,3,2,3,1,2
Thursday,12.676542,79.978615,2,42,0,0,0,0,0,0,0,0
Thursday,13.063038,80.267276,2,12,3,19,13,6,4,6,8,3
Thursday,12.98479,80.122064,2,22,0,0,0,0,0,0,0,0
Thursday,13.042259,80.115087,2,14,0,0,0,0,0,0,0,0
Thursday,12.961916,80.187452,2,12,0,0,0,0,0,0,0,1
Thursday,12.955675,80.18696,2,19,0,0,0,1,0,0,0,0
Thursday,13.006617,80.255654,1,23,1,1,6,3,0,1,0,2
Thursday,12.920389,80.184088,1,0,0,0,1,1,0,0,0,0
Thursday,13.018764,80.261308,1,0,2,0,3,0,0,1,5,2
Thursday,13.027358,80.110936,1,19,0,0,0,0,0,0,1,0
Thursday,12.998149,80.096909,1,30,0,0,0,0,0,1,0,0
Thursday,13.058465,80.265402,1,16,4,14,8,4,3,6,4,2
Thursday,13.050717,80.088955,1,7,0,0,0,0,0,1,0,0
Thursday,12.51433,79.888104,1,48,0,0,0,0,0,0,0,0
Thursday,13.006891,80.250502,1,0,3,1,4,2,0,1,0,3
Thursday,12.973465,80.219829,1,43,0,0,1,2,0,2,3,0
Thursday,12.908931,80.09823,1,14,0,0,0,0,0,1,0,0
Thursday,12.862611,80.073519,1,47,0,0,0,0,0,0,0,0
Thursday,12.506566,79.880659,1,24,0,0,0,0,0,0,0,0
Thursday,12.922488,80.143045,1,15,0,0,1,1,0,0,1,1
Friday,13.055747,80.273821,36,15,3,8,10,7,3,2,13,6
Friday,12.877912,80.08357,34,9,0,0,0,0,0,2,0,1
Friday,13.060968,80.274348,29,17,3,15,11,9,3,5,9,6
Friday,13.053394,80.269851,24,16,2,5,10,4,3,3,14,3
Friday,13.06857,80.268333,18,18,2,21,9,6,2,3,10,3
Friday,13.06417,80.24909,15,10,7,11,6,8,2,4,3,2
Friday,12.690361,79.980598,13,20,0,0,0,0,0,0,0,0
Friday,13.06574,80.27381,13,20,1,16,11,9,3,5,7,4
Friday,12.694578,79.978413,11,14,0,0,0,0,0,0,0,0
Friday,13.07236,80.263606,10,16,3,26,7,4,1,7,12,6
Friday,13.070564,80.257981,8,20,5,21,9,4,1,3,7,6
Friday,13.056256,80.264672,8,22,4,9,7,4,3,3,4,1
Friday,12.974607,80.135262,8,12,0,0,0,1,0,0,0,0
Friday,12.509762,79.884793,7,27,0,0,0,0,0,0,0,0
Friday,13.047084,80.266261,7,18,3,6,4,4,1,3,7,0
Friday,13.060754,80.265292,6,30,4,20,9,5,3,6,4,2
Friday,12.685824,79.983477,6,26,0,0,0,0,0,0,0,0
Friday,12.697225,79.972659,5,15,0,0,0,0,0,0,0,0
Friday,13.06376,80.260032,4,23,3,18,8,8,3,6,5,3
Friday,12.963177,80.187515,4,12,0,0,0,0,0,0,0,2
Friday,13.03313,80.243284,4,20,7,8,2,8,0,5,2,2
Friday,12.939409,80.1824,3,23,0,0,0,0,0,0,0,0
Friday,12.956348,80.186845,3,9,0,0,0,1,0,0,0,0
Friday,13.006691,80.252136,3,20,3,1,5,2,0,1,0,2
Friday,13.036751,80.267756,3,19,3,2,3,4,2,4,18,0
Friday,12.982466,80.13959,3,16,0,0,0,0,0,0,0,0
Friday,12.983232,80.127607,3,16,0,0,0,0,0,0,0,0
Friday,12.965327,80.200133,3,31,0,0,0,0,0,0,0,0
Friday,13.133394,80.252853,2,19,1,0,1,3,2,0,2,0
Friday,13.030686,80.239312,2,20,7,4,1,6,0,0,2,2
Friday,12.998282,80.10133,2,21,0,0,0,0,0,1,0,0
Friday,12.699661,79.968404,2,28,0,0,0,0,0,0,0,0
Friday,13.057336,80.257715,2,19,10,11,9,7,2,7,3,2
Friday,13.039618,80.247158,2,22,6,14,3,6,0,7,4,2
Friday,12.932042,80.181606,2,11,0,0,0,0,0,0,0,0
Friday,13.029091,80.111318,1,16,0,0,0,0,0,0,1,0
Friday,13.006714,80.245718,1,0,3,0,3,1,0,0,1,6
Friday,12.926026,80.117136,1,47,1,0,0,6,0,4,0,0
Friday,13.04294,80.115312,1,6,0,0,0,0,0,0,0,0
Friday,12.998768,80.096717,1,19,0,0,0,0,0,1,0,0
Friday,13.023508,80.264072,1,17,2,1,5,2,0,2,9,2
Friday,12.936069,80.126901,1,51,0,0,0,0,0,3,0,0
Friday,12.925676,80.1022,1,22,0,0,0,0,0,0,0,0
Friday,12.984628,80.121685,1,13,0,0,0,0,0,0,0,0
Friday,12.992997,80.11402,1,30,0,0,0,0,0,0,0,0
Friday,13.121268,80.26578,1,20,1,0,0,1,0,2,2,0
Friday,13.130494,80.258818,1,11,1,0,1,3,0,1,2,0
Friday,13.116388,80.26195,1,23,1,0,0,1,0,2,2,0
Friday,13.104413,80.275938,1,11,0,0,2,1,2,5,4,0
Friday,12.967973,80.149467,1,5,0,1,0,1,0,1,0,0
Friday,12.922851,80.129839,1,35,0,0,0,1,0,0,0,0
Friday,12.977384,80.159361,1,58,0,0,0,0,0,0,0,3
Friday,13.007769,80.207632,1,34,0,0,0,2,1,6,2,1
Friday,12.70421,79.972828,1,57,0,0,0,0,0,0,0,0
Friday,12.72413,79.982061,1,51,0,0,0,0,0,0,0,0
Friday,12.946009,80.183518,1,42,0,0,0,1,0,0,1,0
Saturday,12.876152,80.083209,11,8,0,0,0,0,0,2,0,1
Saturday,13.053548,80.267455,9,13,4,6,8,4,3,2,10,2
Saturday,13.0531,80.272191,5,9,3,3,8,5,3,3,14,6
Saturday,13.068469,80.268558,4,16,2,19,10,6,2,4,10,3
Saturday,13.063306,80.247665,2,26,4,10,4,7,1,6,5,1
Saturday,13.059606,80.265636,2,17,5,18,11,4,3,6,3,2
Saturday,13.039192,80.267673,2,22,4,3,3,4,2,3,16,0
Saturday,13.048093,80.2659,2,0,4,5,6,4,1,4,6,0
Saturday,12.964772,80.197242,1,0,0,0,0,0,0,0,0,0
Saturday,13.070562,80.258124,1,13,5,21,9,4,1,3,7,6
Saturday,12.67645,79.978435,1,37,0,0,0,0,0,0,0,0
Saturday,13.063078,80.274137,1,9,3,18,11,9,3,5,5,4
Sunday,13.074083,80.261996,1,0,4,29,10,5,1,4,11,6
