Lat,Long,Count,Avg_speed,Chennai_colleges,Chennai_hotels,Chennai_schools,Chennai_hospitals,Chennai_markets,Chennai_transport_stand,Chennai_religious_places,Chennai_tourist_places
12.627557,79.930026,2.0,52.0,0,0,0,0,0,0,0,0
12.506566,79.880659,2.0,18.0,0,0,0,0,0,0,0,0
12.862611,80.073519,2.0,24.0,0,0,0,0,0,0,0,0
13.020449,80.225198,2.0,38.0,3,0,1,2,1,3,7,2
13.013921,80.223196,2.0,28.0,2,1,2,2,1,3,4,0
12.959594,80.14473,2.0,10.0,0,1,0,1,0,0,0,0
13.133394,80.252853,2.0,19.0,1,0,1,3,2,0,2,0
12.668491,79.973274,2.0,37.0,0,0,0,0,0,0,0,0
12.922496,80.137556,2.0,21.0,0,0,0,1,0,0,0,0
13.067573,80.242869,2.0,32.0,3,5,5,2,1,2,6,2
12.922488,80.143045,2.0,18.0,0,0,1,1,0,0,1,1
12.719549,79.981001,1.0,58.0,0,0,0,0,0,0,0,0
13.050717,80.088955,1.0,7.0,0,0,0,0,0,1,0,0
12.977384,80.159361,1.0,58.0,0,0,0,0,0,0,0,3
12.546286,79.9055,1.0,34.0,0,0,0,0,0,0,0,0
13.025971,80.230938,1.0,4.0,6,0,0,0,1,5,6,1
12.822656,80.038747,1.0,30.0,0,0,0,0,0,0,0,0
13.009133,80.211944,1.0,33.0,0,0,0,2,0,6,2,1
13.088508,80.290316,1.0,23.0,2,3,6,4,8,4,3,3
12.985698,80.173587,1.0,42.0,0,0,0,0,0,0,0,1
13.096269,80.292877,1.0,18.0,0,2,6,3,7,0,4,1
13.104413,80.275938,1.0,11.0,0,0,2,1,2,5,4,0
13.116388,80.26195,1.0,23.0,1,0,0,1,0,2,2,0
13.130494,80.258818,1.0,11.0,1,0,1,3,0,1,2,0
13.121268,80.26578,1.0,20.0,1,0,0,1,0,2,2,0
12.927221,80.109053,1.0,37.0,0,0,0,6,0,1,0,0
12.918378,80.081695,1.0,35.0,0,0,0,1,0,0,0,1
12.92346,80.154942,1.0,5.0,0,0,1,0,0,0,1,1
12.966529,80.090406,0.0,0.0,0,0,0,0,0,0,0,0
12.795126,80.020096,0.0,0.0,0,0,0,0,0,0,0,0
12.942122,80.137983,0.0,0.0,0,0,1,2,0,1,1,1
12.937699,80.135,0.0,0.0,0,0,1,2,0,4,0,1
12.953443,80.164217,0.0,0.0,0,1,0,0,0,0,0,0
13.075144,80.216922,0.0,0.0,6,0,1,7,0,1,0,1
13.08839,80.174349,0.0,0.0,3,0,2,0,0,0,0,0
13.169852,80.239483,0.0,0.0,0,0,0,0,0,0,0,0
12.948541,80.208616,0.0,0.0,0,0,0,1,0,0,0,0
12.829614,80.123286,0.0,0.0,0,0,0,0,0,0,0,0
12.847945,80.141276,0.0,0.0,0,0,1,0,0,0,0,0
12.843096,80.13779,0.0,0.0,0,0,1,0,0,1,0,0
13.06655,80.230802,0.0,0.0,13,1,4,3,0,1,4,1
12.828934,80.043875,0.0,0.0,0,0,0,0,0,0,0,0
13.018301,80.218677,0.0,0.0,1,0,1,1,1,3,6,2
13.006876,80.239807,0.0,0.0,4,0,1,1,0,0,1,6
13.002018,80.198157,0.0,0.0,1,0,0,3,2,0,3,1
13.119211,80.293226,0.0,0.0,1,0,5,6,0,2,1,1
13.124783,80.29446,0.0,0.0,0,0,3,3,0,0,0,0
12.639746,79.936281,0.0,0.0,0,0,0,0,0,0,0,0
12.995087,80.18781,0.0,0.0,0,2,0,0,0,1,0,0
12.659422,79.963062,0.0,0.0,0,0,0,0,0,0,0,0
13.104725,80.285669,0.0,0.0,3,0,4,3,3,3,5,2
13.122088,80.259237,0.0,0.0,1,0,0,2,0,2,3,0
13.054858,80.121505,0.0,0.0,0,0,0,0,0,0,0,0
12.664174,79.968508,0.0,0.0,0,0,0,0,0,0,0,0
13.056353,80.116111,0.0,0.0,0,0,0,0,0,0,0,0
13.01629,80.102777,0.0,0.0,0,0,1,0,0,0,0,0
13.073296,80.240699,0.0,0.0,7,2,8,12,1,0,2,2
13.073928,80.224813,0.0,0.0,7,1,3,8,0,1,3,1
13.06121,80.163307,0.0,0.0,0,0,0,0,0,0,0,0
13.03162,80.277607,0.0,0.0,2,0,0,0,2,2,11,6
12.942436,80.132964,0.0,0.0,0,0,1,2,0,4,0,1
12.915988,80.105333,0.0,0.0,0,0,0,0,0,0,0,0
12.987726,80.25568,0.0,0.0,0,2,1,1,0,1,1,2
12.894915,80.14138,0.0,0.0,0,0,0,0,0,0,0,0
12.890028,80.137009,0.0,0.0,0,0,0,0,0,0,0,0
